QUESTION,TOPIC,DIFFICULTY,CORRECT,WRONG 1,WRONG 2,WRONG 3
What is the plural (more than one) of 'child'?,English_Literacy,Hard,children,childs,childrens,childes
What is the plural (more than one) of 'mouse'?,English_Literacy,Hard,mice,mouses,mices,mice's
Which word is short for 'do not'?,English_Literacy,Hard,don't,dont,do'nt,dunnot
Which word is short for 'I will'?,English_Literacy,Hard,I'll,I'w,Ill,I'l
Which word correctly completes this sentence? I have ___ apples.,English_Literacy,Hard,two,to,too,tow
Which word correctly completes this sentence? Look over ___!,English_Literacy,Hard,there,their,they're,thier
Which punctuation mark is used to separate items in a list?,English_Literacy,Hard,A comma,A full stop,A question mark,An exclamation mark
Which of these sentences is a command?,English_Literacy,Hard,Go and wash your hands.,I washed my hands.,Did you wash your hands?,How clean my hands are!
Which punctuation mark ends this sentence? What a beautiful day it is,English_Literacy,Hard,An exclamation mark,A question mark,A full stop,A comma
Add the correct ending: The elephant is the ___ animal in the zoo.,English_Literacy,Hard,largest,larger,large,largely
Which word means 'full of care'?,English_Literacy,Hard,careful,careless,caring,cared
Complete the sentence: The tortoise moved very ___.,English_Literacy,Hard,slowly,slow,slower,slowest
If you are NOT happy you are...,English_Literacy,Hard,unhappy,inhappy,dishappy,nonhappy
Which of these is an adverb (a word that describes a verb)?,English_Literacy,Hard,quickly,quick,table,blue
Find the adjective in this sentence: The brave knight fought the dragon.,English_Literacy,Hard,brave,knight,fought,dragon
Which of these is a noun (naming word)?,English_Literacy,Hard,castle,beautiful,singing,angrily
Which phrase shows that the toy belongs to the dog?,English_Literacy,Hard,The dog's toy,The dogs toy,The dogs' toy,The dog toy's
The sun shines during the day but at ___ it is dark.,English_Literacy,Hard,night,knight,nite,niet
What is more than one 'baby' called?,English_Literacy,Hard,babies,babys,babyes,babis
Which word is spelt correctly?,English_Literacy,Hard,because,becoz,becuz,becuase
Which word means almost the same as 'scared'?,English_Literacy,Hard,frightened,brave,happy,excited
Which of these is a compound word (two words joined together)?,English_Literacy,Hard,playground,running,beautiful,unhelpful
Which of these is an asking sentence (a question)?,English_Literacy,Hard,Can I have a drink?,Get me a drink.,I want a drink.,What a lovely drink!
Complete the sentence: Right now she is ___ a book.,English_Literacy,Hard,reading,read,reads,readed
Which word comes first in alphabetical order?,English_Literacy,Hard,apple,banana,cat,dog
What does 'Bore da' mean?,Welsh,Easy,Good morning,Good night,Good afternoon,Goodbye
What is the Welsh word for 'dog'?,Welsh,Easy,ci,cath,aderyn,pysgodyn
What number is 'dau'?,Welsh,Easy,2,1,3,4
What colour is 'melyn'?,Welsh,Easy,Yellow,Red,Blue,Green
How do you say 'Thank you' in Welsh?,Welsh,Easy,Diolch,Croeso,Hwyl fawr,Shwmae
What is the Welsh word for 'cat'?,Welsh,Easy,cath,ci,mochyn,dafad
What colour is 'glas'?,Welsh,Easy,Blue,Red,Green,Black
What does 'Nos da' mean?,Welsh,Easy,Good night,Good morning,Hello,Please
What number is 'un'?,Welsh,Easy,1,2,5,10
How do you say 'Goodbye' in Welsh?,Welsh,Hard,Hwyl fawr,Shwmae,Croeso,Bore da
What does 'Mae hi'n bwrw glaw' mean?,Welsh,Hard,It is raining,It is sunny,It is snowing,It is cold
Which day of the week is 'Dydd Llun'?,Welsh,Hard,Monday,Tuesday,Friday,Sunday
If someone asks 'Sut wyt ti?' what are they asking?,Welsh,Hard,How are you?,What is your name?,Where do you live?,How old are you?
What number is 'wyth'?,Welsh,Hard,8,6,7,9
What does 'Dw i'n hapus' mean?,Welsh,Hard,I am happy,I am sad,I am tired,I am cold
What does 'Mae hi'n heulog' mean?,Welsh,Hard,It is sunny,It is raining,It is cloudy,It is windy
Which day of the week is 'Dydd Gwener'?,Welsh,Hard,Friday,Wednesday,Thursday,Saturday
What number is 'deg'?,Welsh,Hard,10,5,9,12
How do you say 'Please' in Welsh?,Welsh,Hard,Os gwelwch yn dda,Diolch,Da iawn,Croeso
What does the teacher mean when they say 'Eisteddwch'?,Welsh,Hard,Sit down,Stand up,Listen,Look
